sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
12,0.023056,0.000071,0.000008,0.155916,0.000468,0.000007,0.002838,0.182375,0
10,0.023220,0.000051,0.000006,0.214447,0.000525,0.000009,0.008782,0.247049,0
13,0.016785,0.000057,0.000005,0.097160,0.000376,0.000005,0.019650,0.134047,0
36,0.011244,0.000036,0.000003,0.057937,0.000315,0.000004,0.000187,0.069728,0
33,0.011675,0.000031,0.000002,0.048032,0.000319,0.000005,0.000235,0.060301,0
14,0.016251,0.000043,0.000007,0.129148,0.000281,0.000004,0.000207,0.145944,0
14,0.014355,0.000049,0.000005,0.154503,0.000225,0.000006,0.001697,0.170844,0
11,0.019559,0.000044,0.000005,0.032069,0.000399,0.000007,0.010128,0.062221,0
13,0.016730,0.000051,0.000005,0.048009,0.000503,0.000013,0.002858,0.068178,0
15,0.013913,0.000050,0.000004,0.156077,0.000746,0.000012,0.002669,0.173480,0
15,0.019488,0.000044,0.000004,0.132001,0.000388,0.000007,0.000325,0.152261,0
34,0.020264,0.000036,0.000003,0.023176,0.000336,0.000004,0.000234,0.044056,0
14,0.017519,0.000047,0.000005,0.017620,0.000430,0.000014,0.002846,0.038491,0
37,0.011494,0.000033,0.000004,0.057891,0.000289,0.000004,0.000177,0.069892,0
12,0.014712,0.000052,0.000004,0.161609,0.000403,0.000005,0.013056,0.189851,0
35,0.011351,0.000032,0.000003,0.015703,0.000288,0.000004,0.000249,0.027633,0
14,0.011835,0.000046,0.000004,0.102883,0.000428,0.000006,0.019925,0.135140,0
16,0.017856,0.000044,0.000004,0.054441,0.000421,0.000006,0.000320,0.073097,0
13,0.018101,0.000047,0.000004,0.176994,0.000503,0.000009,0.004590,0.200260,0
38,0.012592,0.000037,0.000003,0.056435,0.000320,0.000004,0.000175,0.069568,0
15,0.021417,0.000090,0.000009,0.190362,0.000498,0.000008,0.002303,0.214697,0
13,0.026432,0.000053,0.000009,0.215096,0.000657,0.000018,0.004348,0.246628,0
15,0.018194,0.000045,0.000008,0.111206,0.000365,0.000004,0.000295,0.130122,0
12,0.013166,0.000044,0.000004,0.110407,0.000411,0.000005,0.004931,0.128976,0
36,0.007537,0.000030,0.000004,0.060966,0.000320,0.000004,0.000231,0.069093,0
12,0.026865,0.000071,0.000006,0.215211,0.000570,0.000010,0.019677,0.262420,0
15,0.013346,0.000041,0.000004,0.022207,0.000402,0.000004,0.020068,0.056081,0
17,0.016941,0.000044,0.000004,0.017336,0.000394,0.000008,0.000290,0.035021,0
13,0.019276,0.000050,0.000005,0.198576,0.000484,0.000010,0.000576,0.218984,0
14,0.018720,0.000060,0.000004,0.213899,0.000454,0.000009,0.002992,0.236148,0
37,0.014335,0.000041,0.000004,0.010652,0.000266,0.000004,0.000249,0.025552,0
13,0.010940,0.000045,0.000004,0.086597,0.000346,0.000006,0.018442,0.116392,0
39,0.011600,0.000032,0.000003,0.060987,0.000344,0.000004,0.000163,0.073135,0
16,0.017289,0.000055,0.000005,0.172658,0.000438,0.000008,0.002511,0.192973,0
38,0.007751,0.000032,0.000003,0.055882,0.000294,0.000004,0.000237,0.064205,0
15,0.036115,0.000072,0.000005,0.190833,0.000614,0.000023,0.003681,0.231353,0
14,0.020360,0.000059,0.000004,0.035366,0.000426,0.000005,0.012888,0.069120,0
18,0.012062,0.000052,0.000005,0.098368,0.000362,0.000005,0.000294,0.111149,0
39,0.011967,0.000032,0.000003,0.015878,0.000291,0.000005,0.000240,0.028416,0
16,0.015370,0.000043,0.000007,0.102923,0.007558,0.000010,0.000309,0.126223,0
13,0.016301,0.000041,0.000004,0.106153,0.000378,0.000005,0.005541,0.128432,0
40,0.013086,0.000036,0.000004,0.051399,0.000262,0.000004,0.000175,0.064968,0
15,0.012708,0.000053,0.000006,0.215874,0.000472,0.000011,0.002314,0.231446,0
